industry_id,num_firms,dividends,buybacks,equity_issuance,net_equity_change_usd,net_equity_change_pct_book_equity,debt_repaid,debt_raised,net_debt_change_usd,net_debt_change_pct_total_debt,change_in_lease_debt,vintage_id,region_id
15,9,5224.2,12461.23,458.7,-12002.529999999999,-0.08503241886074908,34501.0,33960.8,-540.1999999999971,-0.0020423386403136063,1067.3999999999978,1,1
16,29,4092.2999999999993,700.41,159.281,-541.1289999999999,-0.010439842833897898,7043.296,9711.873,2668.5769999999993,0.05508309742650357,1430.3969999999972,1,1
17,4,274.0,8.08,1.16,-6.92,-0.001620115655655187,1095.05,1269.18,174.1300000000001,0.026326094022844287,199.106,1,1
18,59,7870.1100000000015,6742.719999999998,841.19,-5901.529999999999,-0.03410953008894926,39363.680000000015,43518.55599999998,4154.8759999999675,0.03360056948154923,1089.2579999999907,1,1
19,16,72.21,265.022,1139.5479999999998,874.5259999999998,0.1195287331971106,152.50400000000002,1473.876,1321.3719999999998,0.8496257812299066,8.419999999999959,1,1
20,64,7760.469999999998,7634.727,1490.0960000000005,-6144.630999999999,-0.07368638044614179,15910.101,19689.586,3779.4849999999988,0.03847320571586148,-1147.5540000000037,1,1
21,36,19202.07,106180.05400000003,2757.9510000000005,-103422.10300000003,-0.9034733721489356,36588.507,41694.63999999999,5106.132999999994,0.027852547197464675,19110.94000000003,1,1
22,40,7224.299999999998,8018.400999999999,102.22599999999998,-7916.174999999999,-0.0838807510382477,26430.953,36584.048,10153.095000000001,0.10546933419763435,228.854000000003,1,1
23,20,4928.379999999999,7885.91,1683.0879999999997,-6202.822,-0.009430592461597177,33609.69499999999,42256.10599999999,8646.411,0.044575914514986895,443.02100000000064,1,1
24,496,20803.6,14405.246,25232.525,10827.279000000002,0.056145824585351875,29267.712,24178.815000000002,-5088.896999999997,-0.02610580803245957,-375.37200000003577,1,1
25,228,42241.200000000004,17586.138999999996,6749.2040000000015,-10836.934999999994,-0.03616892569612857,43365.76399999999,60229.237000000016,16863.473000000027,0.05467031639174785,-568.3600000000224,1,1
26,32,339.3,1137.9799999999998,1102.1449999999998,-35.835000000000036,-0.002323042625093272,2800.6530000000002,732.8199999999999,-2067.8330000000005,-0.28963656080071654,103.06300000000192,1,1
27,112,2905.707000000001,5403.293,3097.7550000000015,-2305.537999999998,-0.027800581462096432,15845.861,23315.179000000007,7469.318000000007,0.12103484747763038,292.27199999998265,1,1
28,8,0.0,109.78899999999999,16.807,-92.98199999999999,-0.11223068473970715,161.833,234.595,72.762,1.9312047137510948,-53.53,1,1
